Course ID,Title,Description,Domain,Difficulty Level,Rating,Number of Reviews,Duration (Hours),Instructor,Platform,Skills
CRS-034,Xcode UI/UX: Design and Animation Masterclass,"Create stunning user interfaces, custom transitions, and fluid animations in your Xcode applications. Topics include: Xcode, Mobile UI Design, Kotlin.",Mobile App Development,Intermediate,4.73,725,12.3,Philipp Lackner,Coursera,"Xcode, Mobile UI Design, Kotlin"
CRS-035,Kubernetes Certified Solutions Architect,"Prepare and pass the official certification. Master core services, security, architecture, and cost optimization on Kubernetes. Topics include: Kubernetes, Docker, Ansible, Google Cloud.",Cloud Computing & DevOps,Advanced,4.58,1835,45.9,Stephane Maarek,Coursera,"Kubernetes, Docker, Ansible, Google Cloud"
CRS-036,Become a Product Manager: Leadership and Analytics,"Learn the product lifecycle, market research, user personas, agile delivery, and metrics definition for Leadership. Topics include: Leadership, Project Management, Agile Methodology.",Business & Product Management,Beginner,3.95,4702,10.1,Cole Mercer,Pluralsight,"Leadership, Project Management, Agile Methodology"
CRS-037,NumPy Boot Camp: Go from Zero to Hero,"A comprehensive guide to analyzing data. Learn data frames, wrangling, and basic predictive analytics with NumPy. Topics include: NumPy, Statistics, Data Visualization.",Data Science & Analytics,Advanced,4.58,1654,40.1,Alex The Analyst,edX,"NumPy, Statistics, Data Visualization"
CRS-038,Advanced Scikit-learn: Deep Dive & Research,"Explore cutting-edge techniques in Scikit-learn, including architecture design, hyperparameter tuning, and model optimization. Topics include: Scikit-learn, Reinforcement Learning, TensorFlow, PyTorch.",AI & Machine Learning,Beginner,4.77,431,7.0,Sam Witteveen,Pluralsight,"Scikit-learn, Reinforcement Learning, TensorFlow, PyTorch"
CRS-039,Build a Social Media App with React Native and Firebase,"Integrate databases, authentication, storage, and push notifications into your React Native app using Firebase backend services. Topics include: React Native, Swift, Firebase, Mobile UI Design.",Mobile App Development,Beginner,3.82,346,6.3,Maximilian Schwarzmüller,Coursera,"React Native, Swift, Firebase, Mobile UI Design"
CRS-040,Become a Product Manager: Product Management and Analytics,"Learn the product lifecycle, market research, user personas, agile delivery, and metrics definition for Product Management. Topics include: Product Management, Leadership, Project Management.",Business & Product Management,Advanced,4.66,3316,53.1,Seth Godin,edX,"Product Management, Leadership, Project Management"
CRS-041,Infrastructure as Code using Terraform and Docker,"Provision and manage cloud resources programmatically across multi-cloud setups with Terraform and Docker. Topics include: Docker, Kubernetes, Terraform.",Cloud Computing & DevOps,Intermediate,4.3,6156,33.0,Stephane Maarek,Pluralsight,"Docker, Kubernetes, Terraform"
CRS-042,Digital Marketing Masterclass: Growth Hacking & Branding,"Grow your business online. Master SEO, social media, paid ads, and analytics using Growth Hacking tools. Topics include: Growth Hacking, SEO.",Digital Marketing,Intermediate,4.45,319,18.2,Robin & Jesper,Coursera,"Growth Hacking, SEO"
CRS-043,Become a Product Manager: Leadership and Analytics,"Learn the product lifecycle, market research, user personas, agile delivery, and metrics definition for Leadership. Topics include: Leadership, Finance, Negotiation.",Business & Product Management,Advanced,4.86,2732,21.8,Todd Birzer,Udemy,"Leadership, Finance, Negotiation"
CRS-044,Full-Stack Web Dev with React and React,"Become a full-stack engineer. Build robust backends and dynamic frontends using React and React. Topics include: React, HTML.",Web Development,Intermediate,4.04,603,14.2,Angela Yu,Coursera,"React, HTML"
CRS-045,Tableau Boot Camp: Go from Zero to Hero,"A comprehensive guide to analyzing data. Learn data frames, wrangling, and basic predictive analytics with Tableau. Topics include: Tableau, Pandas.",Data Science & Analytics,Advanced,4.8,3175,28.9,Kirill Eremenko,edX,"Tableau, Pandas"
CRS-046,Kubernetes Certified Solutions Architect,"Prepare and pass the official certification. Master core services, security, architecture, and cost optimization on Kubernetes. Topics include: Kubernetes, Ansible.",Cloud Computing & DevOps,Advanced,4.26,950,35.4,Richard Chan,Udemy,"Kubernetes, Ansible"
CRS-047,Startup Foundations: Agile Methodology & Lean Canvas,"How to validate ideas, raise capital, design business models, and execute go-to-market strategies using Agile Methodology. Topics include: Agile Methodology, Leadership, Scrum.",Business & Product Management,Advanced,4.12,2472,54.9,Evan Kimbrell,Pluralsight,"Agile Methodology, Leadership, Scrum"
CRS-048,Mastering Figma: Design Systems & Auto-Layout,"Create robust, scalable design systems, components, variants, and interactive prototypes using User Research like a pro. Topics include: User Research, Interaction Design, Visual Design.",UI/UX & Product Design,Intermediate,4.47,552,18.4,Daniel Walter Scott,edX,"User Research, Interaction Design, Visual Design"
CRS-049,Interface Design & Typography with Wireframing,"Elevate your visual design skills. Master grid layouts, color theory, and typographic hierarchy using Wireframing. Topics include: Wireframing, Usability Testing, Adobe XD.",UI/UX & Product Design,Beginner,4.36,1178,9.7,Sarah Gibbons,edX,"Wireframing, Usability Testing, Adobe XD"
CRS-050,Infrastructure as Code using Terraform and Docker,"Provision and manage cloud resources programmatically across multi-cloud setups with Terraform and Docker. Topics include: Docker, Terraform.",Cloud Computing & DevOps,Beginner,4.84,1466,5.0,Richard Chan,Coursera,"Docker, Terraform"
CRS-051,Infrastructure as Code using Terraform and Docker,"Provision and manage cloud resources programmatically across multi-cloud setups with Terraform and Docker. Topics include: Docker, Kubernetes, CI/CD.",Cloud Computing & DevOps,Advanced,4.23,1417,40.4,Richard Chan,Udacity,"Docker, Kubernetes, CI/CD"
CRS-052,Ethical Hacking & CompTIA Security+ Prep Course,"Master core cybersecurity concepts, threats, mitigation strategies, and get fully prepared for your certification in Ethical Hacking. Topics include: Ethical Hacking, Penetration Testing, Wireshark.",Cybersecurity,Beginner,4.86,1289,12.1,Jason Dion,Udemy,"Ethical Hacking, Penetration Testing, Wireshark"
CRS-053,Advanced Penetration Testing & Incident Response,"Go deep into red teaming tactics. Conduct advanced assessments, write custom exploits, and bypass security controls using Incident Response. Topics include: Incident Response, Linux, Network Security, Penetration Testing.",Cybersecurity,Beginner,3.99,1086,14.7,Heath Adams,edX,"Incident Response, Linux, Network Security, Penetration Testing"
CRS-054,Digital Marketing Masterclass: Content Marketing & Branding,"Grow your business online. Master SEO, social media, paid ads, and analytics using Content Marketing tools. Topics include: Content Marketing, Facebook Ads, SEO.",Digital Marketing,Advanced,4.54,638,22.4,Daragh Walsh,edX,"Content Marketing, Facebook Ads, SEO"
CRS-055,Computer Vision & NLP using TensorFlow,"Process images, video, and natural language text using advanced TensorFlow frameworks and pre-trained models. Topics include: TensorFlow, Deep Learning, PyTorch, LLMs.",AI & Machine Learning,Intermediate,4.84,203,32.7,Daniel Bourke,Udacity,"TensorFlow, Deep Learning, PyTorch, LLMs"
CRS-056,The Complete Ethical Hacking Course: Metasploit,"Learn how to think like a hacker. Perform vulnerability scans, exploit targets, and secure systems using Metasploit. Topics include: Metasploit, Linux, Security Fundamentals, Incident Response.",Cybersecurity,Beginner,4.09,392,5.9,Neal Bridges,Udemy,"Metasploit, Linux, Security Fundamentals, Incident Response"
CRS-057,Business Intelligence using Python,"Drive data-driven decisions. Learn advanced reporting, cohort analysis, and predictive modeling using Python. Topics include: Python, Exploratory Data Analysis.",Data Science & Analytics,Intermediate,4.11,362,11.8,Alex The Analyst,Pluralsight,"Python, Exploratory Data Analysis"
CRS-058,Infrastructure as Code using Terraform and Jenkins,"Provision and manage cloud resources programmatically across multi-cloud setups with Terraform and Jenkins. Topics include: Jenkins, Ansible, Docker.",Cloud Computing & DevOps,Advanced,4.09,137,61.5,Stephane Maarek,Udacity,"Jenkins, Ansible, Docker"
CRS-059,User Research and Usability Testing in Practice,"Plan, conduct, and analyze user research and usability sessions. Turn feedback into mockups with Usability Testing. Topics include: Usability Testing, User Research.",UI/UX & Product Design,Intermediate,4.75,541,10.6,Sarah Gibbons,Udacity,"Usability Testing, User Research"
CRS-060,Advanced System Administration & Ansible,"Master Linux command line, shell scripting, automation, and system security with a focus on Ansible services. Topics include: Ansible, Jenkins, AWS, Kubernetes.",Cloud Computing & DevOps,Advanced,4.56,564,39.6,Stephane Maarek,Coursera,"Ansible, Jenkins, AWS, Kubernetes"
CRS-061,User Research and Usability Testing in Practice,"Plan, conduct, and analyze user research and usability sessions. Turn feedback into mockups with Usability Testing. Topics include: Usability Testing, Interaction Design.",UI/UX & Product Design,Intermediate,4.73,203,17.2,Sarah Gibbons,edX,"Usability Testing, Interaction Design"
CRS-062,Project Management Professional (PMP) Prep with Product Management,"Comprehensive training on predictive, agile, and hybrid project frameworks. Includes mock exams covering Product Management. Topics include: Product Management, Business Strategy, Negotiation, Scrum.",Business & Product Management,Beginner,4.66,2733,6.1,Seth Godin,Udemy,"Product Management, Business Strategy, Negotiation, Scrum"
CRS-063,Advanced State Management in Xcode Apps,"Build robust, testable, and production-ready mobile architectures using Xcode state management and testing frameworks. Topics include: Xcode, Mobile UI Design, Flutter, React Native.",Mobile App Development,Advanced,4.23,1058,47.4,Paul Hudson,Coursera,"Xcode, Mobile UI Design, Flutter, React Native"
CRS-064,Advanced System Administration & Google Cloud,"Master Linux command line, shell scripting, automation, and system security with a focus on Google Cloud services. Topics include: Google Cloud, Kubernetes, Shell Scripting, AWS.",Cloud Computing & DevOps,Beginner,4.2,3224,11.1,Nigel Poulton,Udemy,"Google Cloud, Kubernetes, Shell Scripting, AWS"
CRS-065,Generative AI & TensorFlow Application Development,"Learn to build applications powered by Large Language Models and custom TensorFlow agents. Topics include: TensorFlow, Generative AI, Reinforcement Learning.",AI & Machine Learning,Advanced,4.04,269,42.9,Daniel Bourke,Pluralsight,"TensorFlow, Generative AI, Reinforcement Learning"
CRS-066,Advanced TensorFlow: Deep Dive & Research,"Explore cutting-edge techniques in TensorFlow, including architecture design, hyperparameter tuning, and model optimization. Topics include: TensorFlow, Computer Vision.",AI & Machine Learning,Advanced,3.78,243,42.0,Sam Witteveen,edX,"TensorFlow, Computer Vision"
CRS-067,Advanced Generative AI: Deep Dive & Research,"Explore cutting-edge techniques in Generative AI, including architecture design, hyperparameter tuning, and model optimization. Topics include: Generative AI, Scikit-learn, NLP.",AI & Machine Learning,Advanced,4.54,423,30.7,Sam Witteveen,Udacity,"Generative AI, Scikit-learn, NLP"
CRS-068,Project Management Professional (PMP) Prep with Leadership,"Comprehensive training on predictive, agile, and hybrid project frameworks. Includes mock exams covering Leadership. Topics include: Leadership, Product Management.",Business & Product Management,Beginner,4.7,3751,9.4,Todd Birzer,Pluralsight,"Leadership, Product Management"
CRS-069,Build Real-World Projects with Tailwind CSS,"An entirely project-based course where you will build 10+ professional applications using Tailwind CSS and modern tools. Topics include: Tailwind CSS, TypeScript.",Web Development,Intermediate,3.86,483,31.8,Colt Steele,Pluralsight,"Tailwind CSS, TypeScript"
CRS-070,Advanced Scikit-learn: Deep Dive & Research,"Explore cutting-edge techniques in Scikit-learn, including architecture design, hyperparameter tuning, and model optimization. Topics include: Scikit-learn, TensorFlow.",AI & Machine Learning,Advanced,4.72,225,37.1,Sam Witteveen,Pluralsight,"Scikit-learn, TensorFlow"
CRS-071,iOS & Android Development with Xcode,"Build beautiful, native cross-platform mobile apps for iOS and Android using a single codebase of Xcode. Topics include: Xcode, Firebase, Flutter, iOS Development.",Mobile App Development,Advanced,4.12,572,51.7,Maximilian Schwarzmüller,edX,"Xcode, Firebase, Flutter, iOS Development"
CRS-072,Data Science Masterclass: NumPy & Statistics,"Learn how to clean, analyze, and visualize data using NumPy. Covers statistical modeling and business intelligence. Topics include: NumPy, Tableau, Python.",Data Science & Analytics,Intermediate,4.21,550,24.1,Andrew Ng,Udemy,"NumPy, Tableau, Python"
CRS-073,Computer Vision & NLP using Neural Networks,"Process images, video, and natural language text using advanced Neural Networks frameworks and pre-trained models. Topics include: Neural Networks, Deep Learning.",AI & Machine Learning,Intermediate,4.77,597,26.7,Daniel Bourke,Udacity,"Neural Networks, Deep Learning"
CRS-074,User Research and Usability Testing in Practice,"Plan, conduct, and analyze user research and usability sessions. Turn feedback into mockups with Design Systems. Topics include: Design Systems, Wireframing, Figma.",UI/UX & Product Design,Intermediate,4.29,540,15.0,Sarah Gibbons,Udacity,"Design Systems, Wireframing, Figma"
CRS-075,Strategic Leadership and Agile Methodology for Executives,"Develop decision-making models, corporate strategy, and negotiation skills to lead high-performing teams in Agile Methodology contexts. Topics include: Agile Methodology, Project Management, Business Strategy.",Business & Product Management,Advanced,4.4,1042,58.9,Seth Godin,Udacity,"Agile Methodology, Project Management, Business Strategy"
CRS-076,Full-Stack Web Dev with React and Git,"Become a full-stack engineer. Build robust backends and dynamic frontends using React and Git. Topics include: Git, SQL, Node.js, React.",Web Development,Advanced,4.76,81,50.6,Maximilian Schwarzmüller,Coursera,"Git, SQL, Node.js, React"
CRS-077,Introduction to Deep Learning & Neural Networks,"Understand the mathematical foundations and core concepts behind modern Deep Learning algorithms. Topics include: Deep Learning, Machine Learning, TensorFlow, Scikit-learn.",AI & Machine Learning,Intermediate,4.74,2327,14.4,Sam Witteveen,edX,"Deep Learning, Machine Learning, TensorFlow, Scikit-learn"
CRS-078,Practical NLP with PyTorch and Scikit-Learn,"Build, train, and deploy powerful NLP models for classification, regression, and clustering tasks. Topics include: NLP, Generative AI, LLMs, TensorFlow.",AI & Machine Learning,Beginner,4.32,457,5.5,Andrej Karpathy,Pluralsight,"NLP, Generative AI, LLMs, TensorFlow"
CRS-079,Jenkins Certified Solutions Architect,"Prepare and pass the official certification. Master core services, security, architecture, and cost optimization on Jenkins. Topics include: Jenkins, Terraform, Shell Scripting, CI/CD.",Cloud Computing & DevOps,Advanced,4.26,500,31.8,Nigel Poulton,Udemy,"Jenkins, Terraform, Shell Scripting, CI/CD"
CRS-080,Startup Foundations: Startup Strategy & Lean Canvas,"How to validate ideas, raise capital, design business models, and execute go-to-market strategies using Startup Strategy. Topics include: Startup Strategy, Agile Methodology, Negotiation, Business Strategy.",Business & Product Management,Advanced,4.7,1265,57.1,Cole Mercer,Udacity,"Startup Strategy, Agile Methodology, Negotiation, Business Strategy"
CRS-081,The Complete Ethical Hacking Course: Metasploit,"Learn how to think like a hacker. Perform vulnerability scans, exploit targets, and secure systems using Metasploit. Topics include: Metasploit, Penetration Testing, Security Fundamentals, Network Security.",Cybersecurity,Advanced,3.73,497,51.3,Jason Dion,Pluralsight,"Metasploit, Penetration Testing, Security Fundamentals, Network Security"
CRS-082,Digital Marketing Masterclass: Content Marketing & Branding,"Grow your business online. Master SEO, social media, paid ads, and analytics using Content Marketing tools. Topics include: Content Marketing, Growth Hacking, Copywriting.",Digital Marketing,Beginner,4.68,153,8.9,Robin & Jesper,Udacity,"Content Marketing, Growth Hacking, Copywriting"
CRS-083,Containerization with Docker & Azure Masterclass,"Learn to package, deploy, and scale microservices using Docker and Azure orchestration in production. Topics include: Azure, CI/CD, Shell Scripting.",Cloud Computing & DevOps,Advanced,4.16,504,48.8,Stephane Maarek,Pluralsight,"Azure, CI/CD, Shell Scripting"
CRS-084,Advanced REST APIs and Design Patterns,"Deep dive into REST APIs. Learn performance optimization, security, state management, and enterprise-level architecture. Topics include: REST APIs, Express.",Web Development,Beginner,3.92,1324,12.9,Angela Yu,Udacity,"REST APIs, Express"
CRS-085,Containerization with Docker & Google Cloud Masterclass,"Learn to package, deploy, and scale microservices using Docker and Google Cloud orchestration in production. Topics include: Google Cloud, Ansible, AWS.",Cloud Computing & DevOps,Beginner,4.68,92,5.4,Adrian Cantrill,Coursera,"Google Cloud, Ansible, AWS"
CRS-086,iOS & Android Development with Mobile UI Design,"Build beautiful, native cross-platform mobile apps for iOS and Android using a single codebase of Mobile UI Design. Topics include: Mobile UI Design, Android Development.",Mobile App Development,Beginner,3.74,553,9.2,Maximilian Schwarzmüller,edX,"Mobile UI Design, Android Development"
CRS-087,Complete Mobile UI Design Developer Bootcamp,"Learn mobile application development from scratch. Design layouts, manage state, and deploy to App Store and Google Play. Topics include: Mobile UI Design, React Native, Xcode, iOS Development.",Mobile App Development,Intermediate,4.93,3224,26.1,Paul Hudson,Udemy,"Mobile UI Design, React Native, Xcode, iOS Development"
CRS-088,SQL for Beginners: Start Coding Today,"Learn the fundamentals of SQL. Perfect for absolute beginners with no prior coding experience. Topics include: SQL, MongoDB.",Web Development,Intermediate,4.97,844,25.6,Colt Steele,Pluralsight,"SQL, MongoDB"
CRS-089,Google Analytics 4 & Copywriting Data Analysis,"Track user behavior, measure conversions, set up custom dashboards, and make data-driven marketing decisions with Copywriting. Topics include: Copywriting, Growth Hacking, Email Marketing, Facebook Ads.",Digital Marketing,Advanced,4.73,1314,49.3,Robin & Jesper,Udacity,"Copywriting, Growth Hacking, Email Marketing, Facebook Ads"
CRS-090,Copywriting & Social Media Marketing for Maximum Conversions,"Write persuasive copy for emails, sales pages, and social media. Combine copywriting with Social Media Marketing metrics. Topics include: Social Media Marketing, Growth Hacking, Google Ads, Google Analytics.",Digital Marketing,Advanced,4.52,155,31.5,Isaac Rudansky,Pluralsight,"Social Media Marketing, Growth Hacking, Google Ads, Google Analytics"
CRS-091,Introduction to Scikit-learn & Neural Networks,"Understand the mathematical foundations and core concepts behind modern Scikit-learn algorithms. Topics include: Scikit-learn, Deep Learning, LLMs, Generative AI.",AI & Machine Learning,Advanced,4.92,2826,63.0,Daniel Bourke,Udemy,"Scikit-learn, Deep Learning, LLMs, Generative AI"
CRS-092,Copywriting & Google Analytics for Maximum Conversions,"Write persuasive copy for emails, sales pages, and social media. Combine copywriting with Google Analytics metrics. Topics include: Google Analytics, Growth Hacking, Content Marketing.",Digital Marketing,Beginner,4.69,126,11.2,Alex Cattoni,edX,"Google Analytics, Growth Hacking, Content Marketing"
CRS-093,Containerization with Docker & CI/CD Masterclass,"Learn to package, deploy, and scale microservices using Docker and CI/CD orchestration in production. Topics include: CI/CD, Shell Scripting.",Cloud Computing & DevOps,Advanced,4.67,477,47.6,Stephane Maarek,edX,"CI/CD, Shell Scripting"
CRS-094,The Ultimate Email Marketing Guide to Page #1,"Rank higher on search engines. Master on-page, off-page, technical optimizations, and keyword research using Email Marketing. Topics include: Email Marketing, SEO.",Digital Marketing,Advanced,4.21,309,38.0,Isaac Rudansky,edX,"Email Marketing, SEO"
CRS-095,Generative AI & Reinforcement Learning Application Development,"Learn to build applications powered by Large Language Models and custom Reinforcement Learning agents. Topics include: Reinforcement Learning, Machine Learning, Deep Learning, PyTorch.",AI & Machine Learning,Advanced,4.15,374,46.8,Daniel Bourke,Pluralsight,"Reinforcement Learning, Machine Learning, Deep Learning, PyTorch"
